MOVIES,YEAR,RATING,VOTES,RunTime,Gross
The Shack,(I) (2017),6.3,"31,775",132,$57.39M
To the Lake,(I) (2019),7.3,"10,507",,
Escape From Spiderhead,-2021,,,,
Yakuza and the Family,-2020,7,"1,192",136,
Maggie,(I) (2015),5.6,"42,895",95,$0.19M
Broken City,-2013,6.2,"77,749",109,$19.70M
Delhi Crime,(2019– ),8.5,"15,928",50,
La Mante,-2017,7.4,"12,210",52,
Step Up 2: The Streets,-2008,6.2,"82,792",98,$58.02M
Move to Heaven,(2021– ),8.7,"2,598",60,
Baby,(2018–2020),6.8,"9,336",50,
L'incredibile storia dell'Isola delle Rose,-2020,7,"16,127",117,
Jeopardy!,(1984– ),8.2,"6,528",30,
Miracle in Cell No. 7,-2019,8.2,"41,099",132,
Contraband,-2012,6.4,"119,261",109,$66.53M
The Client,-1994,6.7,"62,748",119,$92.12M
Mirror Mirror,(I) (2012),5.6,"85,615",106,$64.94M
Otherhood,-2019,6.1,"10,213",100,
A.N.T. Farm,(2011–2014),5.1,"6,347",30,
Chappelle's Show,(2003–2006),8.7,"57,671",22,
You Me Her,(2016–2020),7,"9,698",28,
Heist,(III) (2015),6.1,"28,949",93,
Órbita 9,-2017,5.9,"7,123",95,
Bitten,(2014–2016),7,"16,925",44,
The World's Most Amazing Vacation Rentals,(2021– ),6.6,685,,
Black Mirror: Bandersnatch,-2018,7.1,"118,074",90,
Johnny Test,(2005– ),5.1,"7,357",30,
I Spit on Your Grave 2,-2013,5.7,"28,118",106,$0.00M
The Boys in the Band,-2020,6.8,"13,250",121,
Une fille facile,-2019,5.6,"4,398",92,
The Great Gatsby,-1974,6.4,"24,087",144,$6.74M
Mimi wo sumaseba,-1995,7.9,"55,741",111,
Rebecka Martinsson,(2017– ),7.2,"2,356",45,
Avengement,(I) (2019),6.6,"12,996",87,
Thelma,-2017,7,"28,282",116,$0.15M
Step Up 3D,-2010,6.2,"56,610",107,$42.40M
Seaspiracy,-2021,8.2,"25,217",89,
Drop Dead Diva,(2009–2014),7.4,"18,697",60,
High-Rise Invasion,(2021– ),6.7,"1,836",25,
La casa de las flores,(2018–2020),7.6,"7,172",60,
Eung-dab-ha-ra 1988,(2015–2016),9.1,"4,663",90,
Triple Threat,-2019,5.6,"10,345",96,$0.08M
Are You the One?,(2014– ),6.5,"2,061",41,
Dogs of Berlin,(2018– ),7.6,"11,304",542,
Dash & Lily,(2020– ),7.5,"12,908",,
Rebellion,(2016–2019),7.2,"3,096",258,
The Willoughbys,-2020,6.4,"15,654",90,
Inuyasha,(2000–2004),7.9,"15,149",24,
Gyeongiroun Somun,(2020– ),8.2,"3,546",65,
Cidade Invisível,(2021– ),7.4,"4,641",60,
Kidô senshi Gandamu: Senkô no Hasauei,-2021,6.8,734,95,
Quicksand,-2019,7.5,"18,397",45,
Mine,(2021– ),7.8,580,70,
Thomas the Tank Engine & Friends,(1984–2021),6.6,"4,153",11,
RH Project,-2021,7,"6,171",239,
Sand Castle,-2017,6.3,"21,056",113,
The Courier,-2019,4.8,"8,955",99,
Capitani,(2019–2020),6.6,"3,305",312,
Prime Time,-2021,5.3,"1,257",93,
Power Rangers: Dino Fury,-2021,6.7,234,21,
Kari-gurashi no Arietti,-2010,7.6,"84,951",94,$19.20M
Fate/Zero,(2011–2012),8.3,"11,162",24,
Yasuke,(2021– ),6.2,"3,807",30,
Summertime,(2020– ),5.5,"2,111",40,
Jagame Thandhiram,-2021,6,"10,209",158,
Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,-2010,7.2,"11,708",24,
Dragons: Race to the Edge,(2015–2018),8.3,"5,220",22,
The Lovebirds,-2020,6.1,"23,179",86,
Dangerous Lies,-2020,5.3,"15,360",96,
This Is Pop,(2021– ),6.9,680,44,
White Gold,(2017–2019),7.4,"9,957",30,
The Killer,(I),,,,
Hagane no renkinjutsushi,-2017,5.2,"19,082",135,
Mosul,(I) (2019),7.2,"23,325",86,
Radium Girls,-2018,6.2,"1,188",102,
The Crew,(II) (2021),6.6,"4,478",,
The Devil Next Door,-2019,7.6,"11,484",229,
Step Up Revolution,-2012,6.4,"54,763",99,$35.07M
Damnation,(2017–2018),7.7,"7,430",60,
Heartbreak High,(1994–1999),7.8,"2,870",50,
Bad Day for the Cut,-2017,6.5,"7,311",99,
Hustle,(III),,,,
Raketsonyeondan,(2021– ),1.1,"25,629",80,
The Girl with All the Gifts,-2016,6.6,"56,940",111,
The Letter for the King,(2020– ),5.9,"6,661",,
Bir Baskadir,(2020– ),8.6,"23,472",49,
Hellsing Ultimate,(2006–2012),8.3,"20,818",50,
Black Lagoon,-2006,8,"13,031",25,
Kurenai no buta,-1992,7.7,"81,880",94,
Fast & Furious Spy Racers,(2019– ),5.5,"1,148",23,
Wild Wild Country,-2018,8.1,"26,746",403,
AJ and the Queen,-2020,7.5,"7,137",52,
The Discovery,(I) (2017),6.3,"31,299",102,
Young Wallander,(2020– ),6.8,"7,280",,
Boiseu,(2017–2021),7.7,"1,496",60,
What Keeps You Alive,-2018,5.7,"7,489",98,
A Prayer Before Dawn,-2017,6.9,"21,815",116,
Go-Toubun no Hanayome,(2019– ),7.6,"2,691",24,
Midnight Mass,(2021– ),,,40,
Hogar,-2020,6.4,"15,329",103,
Our Planet,-2019,9.3,"36,473",403,
Shaman King,(2021– ),7.7,412,23,
Cowboy Bebop,(2021– ),,,,
Tau,-2018,5.8,"28,732",97,
Isekai Mao to Shokan Shojo no Dorei Majutsu,(2018– ),7.1,"2,350",24,
World on Fire,(2019– ),7.3,"4,473",57,
Badla,-2019,7.8,"24,679",118,
El practicante,-2020,5.6,"10,363",94,
DC Super Hero Girls,(2019– ),7.1,950,11,
American Murder: The Family Next Door,-2020,7.2,"22,404",83,
Requiem,-2018,6.5,"5,813",60,
Dear White People,(2017–2021),6.2,"23,061",30,
Cloudy with a Chance of Meatballs 2,-2013,6.4,"94,660",95,$119.79M
Gekijouban Violet Evergarden,-2020,8.5,"1,755",140,
Then Came You,-2018,7,"10,857",97,
Monty Python's Flying Circus,(1969–1974),8.8,"69,552",30,
Somewhere Between,-2017,6.3,"5,153",41,
Ascension,-2014,7.2,"17,926",231,
Wasp Network,-2019,5.9,"9,135",127,
Gumihodyeon,(2020– ),8,"2,489",70,
Brooklyn's Finest,-2009,6.7,"61,994",132,$27.15M
Ride or Die,(III) (2021),5.5,"1,261",142,
Señora Acero,(2014–2019),7.1,309,,
The Guilty,-2021,,,90,
Lab Rats,(2012–2016),6.6,"5,125",22,
The Last Days of American Crime,-2020,3.7,"10,337",148,
Byeol-e-seo on geu-dae,(2013–2014),8.2,"10,146",60,
Mirrors,(I) (2008),6.1,"103,973",110,$30.69M
Earthquake Bird,-2019,5.9,"13,305",107,
The Stand In,-2020,4.7,"2,636",101,
"Luchshe, chem lyudi",(2018–2019),7.4,"7,450",52,
Noragami,(2014–2016),7.9,"12,511",24,
Honeymoon,-2014,5.7,"24,861",87,$0.01M
Point Blank,-2019,5.7,"13,085",86,
Touch of Evil,-1958,8,"100,664",95,$2.24M
Matilda,-2022,,,,
To All the Boys: P.S. I Still Love You,-2020,6,"32,367",101,
True Story,(I) (2015),6.3,"65,679",99,$4.72M
The Salisbury Poisonings,-2020,7.2,"4,049",58,
Dorohedoro,(2020– ),8.2,"6,163",25,
Mortel,(2019–2021),6.6,"1,175",40,
Planes,-2013,5.7,"43,335",91,$90.29M
Kiru ra kiru: KILL la KILL,(2013–2014),7.9,"11,962",25,
Work It,-2020,6.1,"10,977",93,
The F**k-It List,-2020,5.1,"5,144",103,
Law School,(2021– ),8.2,"1,201",65,
Sentinelle,-2021,4.7,"6,853",80,
Little Evil,-2017,5.7,"19,827",94,
Freud,(2020– ),6.5,"10,568",55,
Toradora!,(2008–2009),8,"12,030",24,
Goblin Slayer,(2018– ),7.5,"5,711",30,
Wine Country,-2019,5.5,"19,850",103,
Sigeuneol,-2016,8.6,"5,077",80,
Shutter,(II) (2004),7.1,"42,532",97,
Pooreun Badaui Junsul,(2016–2017),8.1,"6,582",60,
Monarca,(2019–2021),7.9,"2,801",43,
Marianne,-2019,7.5,"12,784",50,
Madame Claude,-2021,5.4,"2,642",112,
Gojira shingyura pointo,(2021– ),6.6,"1,054",24,
Creep 2,-2017,6.5,"21,809",78,
Bap Jal Sajuneun Yeppeun Nuna,-2018,8.1,"4,330",75,
Omoide no Mânî,-2014,7.7,"35,523",103,$0.77M
The One I Love,-2014,7.1,"37,373",91,$0.51M
Running with the Devil,-2019,5.4,"7,026",100,
The Circle,(2020– ),7.3,"5,276",48,
Jeepers Creepers 3,-2017,3.9,"19,260",100,$2.24M
Avlu,(2018– ),7.2,"1,377",120,
Love & Anarchy,(2020– ),7.4,"6,788",30,
Free Rein,(2017–2019),7.3,"1,798",26,
Tiempos de guerra,-2017,7.6,"2,724",70,
Geronimo: An American Legend,-1993,6.5,"10,096",115,$18.64M
Shimmer Lake,-2017,6.3,"12,857",86,
È stata la mano di Dio,-2021,,,130,
Wounds,-2019,4,"17,232",95,
The Immigrant,-2013,6.6,"30,649",120,$2.01M
Wake Up,(III) (2019),5,"2,995",92,
The Liberator,(2020– ),7.6,"5,219",,
The Worst Witch,(2017– ),7.3,"2,087",30,
Geunyeoui Sasaenghwal,-2019,7.7,"2,222",75,
The Mercy,-2017,6,"7,898",112,
Step Up All In,-2014,6,"33,247",112,$14.90M
The Last Summer,-2019,5.6,"12,059",109,
La forêt,-2017,7.2,"8,878",313,
Animal Crackers,-2017,5.8,"2,881",105,
Pacific Rim,(2021– ),7.1,"3,533",24,
Kipo and the Age of Wonderbeasts,-2020,8.4,"3,925",24,
The Upshaws,(2021– ),6.9,"1,810",,
Kadaver,-2020,5.1,"8,104",86,
Naked,(I) (2017),5.4,"18,249",96,
Let It Snow,-2019,5.8,"18,925",92,
Mr. Iglesias,(2019–2020),7.1,"5,988",30,
Parfum,-2018,7.1,"7,762",45,
Hilda,(2018–2020),8.6,"8,072",24,
Nayattu,-2021,8.2,"4,887",124,
Aunty Donna's Big Ol' House of Fun,(2020– ),8,"5,312",20,
Marauders,-2016,5.5,"21,162",107,
The Woods,-2020,6.5,"4,702",306,
The K2,-2016,7.8,"4,433",60,
Greenhouse Academy,(2017–2020),6.9,"5,351",25,
I Still See You,-2018,5.8,"9,078",98,
Neko no ongaeshi,-2002,7.2,"51,774",75,
El baile de los 41,-2020,6.8,"3,017",99,
Demain tout commence,-2016,7.4,"24,703",118,
Take Me,-2017,6.1,"5,088",83,$0.00M
Meteor Garden,(2018– ),8.1,"3,217",45,
Paranormal,(2020– ),8.5,"69,190",45,
IO,-2019,4.7,"32,372",96,
Kyle XY,(2006–2009),7.4,"28,464",60,
Nakitai watashi wa neko o kaburu,-2020,6.7,"7,045",104,
Borgia,(2011–2014),7.8,"6,257",52,
Un long dimanche de fiançailles,-2004,7.6,"71,916",133,$6.17M
Dangshini Jamdeun Saie,-2017,8.4,"5,066",30,
Kokuriko-zaka kara,-2011,7.4,"38,625",91,$1.00M
Extremely Loud & Incredibly Close,-2011,6.9,"99,165",129,$31.85M
Red Riding Hood,-2011,5.5,"109,473",100,$37.66M
Mirai nikki,(2011–2013),7.6,"15,313",25,
Tengen toppa gurren lagann,(2007–2008),8.3,"15,693",24,
Mystery Science Theater 3000,(1988–1999),8.5,"23,491",92,
Suite Française,-2014,7,"24,684",107,
El dragón,(2019–2020),7,"1,611",45,
Ajeeb Daastaans,-2021,6.7,"4,649",142,
Portlandia,(2011–2018),7.8,"19,065",22,
"Tiger King: Murder, Mayhem and Madness",-2020,7.5,"70,207",358,
Fatma,(2021– ),7.5,"6,618",40,
Vampires vs. the Bronx,-2020,5.6,"8,618",85,
Get Rich or Die Tryin',-2005,5.4,"45,092",117,$30.98M
Rita,(2012–2020),8.1,"8,057",40,
Hit and Run,(I) (2012),6.1,"35,252",100,$13.75M
Ask 101,(2020– ),7.5,"10,299",40,
Pagglait,-2021,6.9,"7,609",114,
The Girl on the Train,-2021,4.4,"7,821",120,
Unsolved Mysteries,(2020– ),7.3,"8,190",45,
Rocco,-2016,5.7,"3,700",105,
Duck Butter,-2018,5.3,"3,531",93,$0.01M
Liu lang di qiu,-2019,6,"28,264",125,$5.88M
Philomena,-2013,7.6,"96,244",98,$37.71M
Brain on Fire,-2016,6.6,"19,354",88,
Vexed,(2010–2012),7.3,"3,263",60,
Wanderlust,(2018– ),7.1,"4,825",60,
Secret Magic Control Agency,-2021,6.2,"2,848",103,
T-34,-2018,6.7,"10,546",139,
Queer Eye,(2018– ),8.5,"16,094",45,
Republic of Doyle,(2010–2014),7.4,"3,553",60,
Naui Ajusshi,-2018,9.1,"3,944",70,
Alvin and the Chipmunks: The Squeakquel,-2009,4.5,"45,491",88,$219.61M
Glow Up: Britain's Next Make-Up Star,(2019– ),6.8,"1,440",60,
La nuée,-2020,6.5,338,101,
The Bletchley Circle,(2012–2014),7.9,"11,331",45,
The Windsors,(2016– ),7.1,"2,383",30,
Alguien tiene que morir,-2020,6.3,"3,959",149,
In the Name of the King: A Dungeon Siege Tale,-2007,3.8,"46,327",127,$4.54M
Dancing Queens,-2021,5.5,"1,156",110,
The Little Mermaid,-2018,4.3,"8,546",85,$7.15M
The Spectacular Spider-Man,(2008–2009),8.2,"11,421",23,
The Lost Pirate Kingdom,(2021– ),6.6,"2,134",,
Joahamyeon Ullineun,(2019–2021),7.1,"3,786",50,
Sniper: Ghost Shooter,(2016 Video),5.4,"3,512",99,
Jinsimi Dadda,-2019,7.7,"1,942",60,
Miss Bala,-2019,5.8,"10,048",104,$15.01M
John Dies at the End,-2012,6.4,"37,007",99,$0.14M
Kengan Ashura,(2019– ),8,"3,836",24,
Passing,(I) (2021),7,200,98,
Fire with Fire,(II) (2012),5.6,"25,743",97,
Ki Hwanghoo,(2013–2014),8.5,"2,072",,
No Good Nick,-2019,6,"2,486",30,
Desperados,-2020,5.2,"9,291",105,
My Amanda,-2021,5.7,214,89,
The Week Of,-2018,5.2,"20,005",116,
Scarface,-1932,7.8,"26,365",93,
Jugar con Fuego,(2019– ),5.9,768,,
The Gabby Douglas Story,(2014 TV Movie),7,"1,704",86,
Kate,-2021,,,106,
Ibiza,-2018,5.2,"16,358",94,
Boss,(2011–2012),8.1,"17,281",56,
Message from the King,-2016,6.4,"15,158",102,
The Prince,(I) (2014),4.6,"17,952",93,
Day of the Dead: Bloodline,-2017,3.4,"10,173",90,
Kingdom,(2012– ),8.1,900,,
The Kindergarten Teacher,-2018,6.7,"13,946",96,
Father of the Year,-2018,5.2,"10,647",94,
W - Du gaeui segye,-2016,8.1,"7,644",60,
Final Girl,-2015,4.7,"15,269",84,
Spooks: The Greater Good,-2015,6.2,"21,963",104,
El caso Wanninkhof-Carabantes,-2021,6.5,"1,357",88,
W/ Bob and David,-2015,7.4,"3,941",30,
Kaguya-hime no monogatari,-2013,8,"41,510",137,$1.51M
Two Distant Strangers,-2020,6.9,"12,375",32,
See You Yesterday,-2019,5.2,"10,004",84,
ARQ,-2016,6.4,"36,715",88,
Dumbo,-1941,7.2,"124,409",64,$1.60M
Yankee,(2019– ),5.9,566,40,
Resident Evil,,,,,
Elite Short Stories: Carla Samuel,-2021,7,"1,669",43,
Owari No Seraph,-2015,7.5,"4,197",24,
1899,(2022– ),,,,
Le Petit Prince,-2015,7.7,"58,668",108,$1.34M
Love is Blind: After the Altar,(2021– ),5.4,39,45,
Tell Me Who I Am,-2019,7.6,"12,328",86,
Anazâ,-2012,7.6,"12,437",300,
Operation Buffalo,-2020,6.6,551,52,
Tangerine,-2015,7.1,"28,651",88,$0.70M
Le chalet,(2017–2018),7,"6,352",52,
Great Pretender,(2020– ),8,"3,419",23,
"Love, Guaranteed",-2020,5.6,"15,183",90,
Sandy Wexler,-2017,5.2,"15,619",130,
Raat Akeli Hai,-2020,7.3,"16,281",149,
Bitter Daisies,(2018–2020),7.2,"2,864",70,
The Starling,-2021,,,102,
Survivor,(I) (2015),5.6,"32,250",96,
Top Chef,(2006– ),7.6,"5,774",44,
A Man Apart,-2003,6.1,"46,040",109,$26.18M
Znaki,(2018– ),6.3,"1,300",,
Love Hard,-2021,,,,
Beruseruku,(2016–2017),6.8,"4,953",24,
Romeo & Juliet,(II) (2013),5.8,"11,411",118,$1.16M
Think Like a Dog,-2020,5.2,"1,350",91,
The Christmas Chronicles: Part Two,-2020,6,"24,413",112,
You Get Me,-2017,4.7,"12,119",89,
Aterrados,-2017,6.5,"12,989",87,
Edge of Fear,-2018,4.4,"2,652",91,
Equinox,(2020– ),6.1,"5,326",,
Mongol,-2007,7.2,"45,408",126,$5.70M
Yi Guyeokui Michin X,(2021– ),7.9,718,30,
Hap and Leonard,(2016–2018),7.7,"7,034",60,
Bullet Head,-2017,5.4,"9,317",93,
The Gunman,-2015,5.8,"39,993",115,$10.64M
Winx Club,(2004– ),6.2,"5,202",25,
Odd Squad,(2014– ),6.5,946,27,
Chewing Gum,(2015–2017),7.7,"8,245",23,
Persuasion,-2022,,,,
Bright 2,,,,,
Swedish Dicks,(2016–2018),6.8,"3,064",30,
Fate/stay night: Unlimited Blade Works,(2014–2015),8,"6,739",24,
Private Life,-2018,7.2,"17,616",123,
The Beyond,-2017,4.9,"5,839",103,
Avatar: The Last Airbender,,,,,
After Porn Ends 2,-2017,5.5,"2,512",90,
Sierra Burgess Is a Loser,-2018,5.8,"36,624",105,
Yu yu hakusho,(1992–1995),8.4,"12,214",24,
Ingobernable,(2017– ),7.1,"2,858",40,
Disjointed,(2017–2018),6.8,"9,330",30,
Home Team,,,,,
Steins;Gate 0,-2018,8.4,"6,559",30,
Kung Fury,-2015,8,"57,319",31,
The Division,,,,,
Between,(2015–2016),6,"8,647",60,
Gantz: O,-2016,7.1,"13,531",95,
Inside Man: Most Wanted,-2019,5.6,"3,439",105,
Ghost Stories,-2020,4.3,"4,750",144,
Luckiest Girl Alive,-2022,,,,
The Get Down,(2016–2017),8.3,"21,504",52,
The Last Czars,-2019,7.3,"6,983",45,
The Perfect Date,(I) (2019),5.8,"35,113",89,
Sergio,-2020,6.1,"8,858",118,
Yin-Yang Master I,-2020,6.5,"4,028",132,
Comedians in Cars Getting Coffee,(2012– ),8.1,"11,473",20,
The Keepers,(II) (2017),8.1,"19,750",436,
Hache,(2019–2021),6.5,"1,368",50,
Gokushufudo,(2021– ),7.3,"2,437",16,
World Without End,-2012,7,"8,271",374,
The Paradise,(2012–2013),7.7,"10,883",60,
The Open House,-2018,3.2,"32,382",94,
Yeokdoyojeong Gim Bokju,(2016–2017),8.4,"6,035",60,
"Crouching Tiger, Hidden Dragon: Sword of Destiny",-2016,6.1,"18,540",96,
All Together Now,-2020,6.5,"3,578",92,
Yip Man 3,-2015,7.1,"51,648",105,$2.68M
Mugen no jûnin,-2017,6.8,"16,248",140,$0.15M
Sexy Beasts,(2014– ),5.5,53,,
Monster: The Jeffrey Dahmer Story,(2022– ),,,,
Irreplaceable You,-2018,6.4,"8,778",96,
Cocaine Cowboys: The Kings of Miami,-2021,,,,
Chef's Table,(2015–2019),8.5,"14,082",50,
Kal Hee,-1991,7.6,"28,969",118,$0.45M
First They Killed My Father,-2017,7.2,"16,871",136,
Hot Girls Wanted: Turned On,-2017,6.6,"2,061",280,
Le chant du loup,-2019,6.9,"15,211",115,
Extracurricular,-2020,7.7,"3,538",50,
Hasta el cielo,-2020,5.6,"2,880",121,
True Memoirs of an International Assassin,-2016,5.9,"21,442",98,
Carmen Sandiego,(2019–2021),7.9,"4,796",22,
Plus/Minus,,,,,
The New Legends of Monkey,(2018– ),6.5,"3,894",24,
Bo Burnham: Make Happy,(2016 TV Special),8.4,"12,350",60,
Kahaani,-2012,8.1,"59,675",122,$1.04M
A Babysitter's Guide to Monster Hunting,-2020,5.4,"3,434",98,
Pray Away,-2021,6.2,159,101,
Haunted,(2018– ),4.7,"2,934",24,
Q-Force,(2021– ),,,30,
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,(2020 TV Movie),7,"4,302",80,
Arbitrage,-2012,6.6,"51,051",107,$7.92M
A Suitable Boy,(2020– ),5.7,"4,567",60,
The Innocents,-2018,6.3,"5,470",60,
Premium Rush,-2012,6.5,"111,533",91,$20.28M
La valla,(2020– ),6.8,"2,911",50,
Champions,-2018,6.1,"3,361",30,
Like Father,-2018,6.1,"20,183",98,
Pretend It's a City,-2021,8.1,"5,915",203,
Ask-i Memnu,(2008–2010),7.4,"12,276",90,
La vita davanti a sé,-2020,6.8,"12,655",94,
Yummy,-2019,5.9,"4,301",88,
My Babysitter's a Vampire,(2011–2012),7.1,"3,986",22,
Day Shift,,,,,
Tramps,-2016,6.5,"5,016",82,
Unité 42,(2017– ),7,"1,997",52,
Why Are You Like This?,(2018– ),6.5,"1,142",,
Gedo senki,-2006,6.4,"37,082",115,$0.05M
Gekijouban Bishoujo Senshi Sailor Moon Eternal,-2021,7.1,932,160,
Homunculus,-2021,5.6,"1,819",115,
We Have A Ghost,,,,,
The Painted Veil,-2006,7.5,"90,212",125,$8.06M
Enola Holmes 2,,,,,
Beirut,-2018,6.5,"20,085",110,$5.02M
Teströl és lélekröl,-2017,7.6,"25,551",116,
An Interview with God,-2018,5.8,"3,470",97,$1.25M
Sangre en la boca,-2016,5.6,647,97,
Luis Miguel: La Serie,(2018– ),8,"3,695",60,
Jamtara: Sabka Number Ayega,(2020– ),7.3,"5,236",29,
Article 15,-2019,8.2,"26,537",130,
Return to Sender,(I) (2015),5.1,"12,670",92,
Degrassi: Next Class,(2016–2017),6.9,"2,876",30,
Hoops,-2020,6,"4,896",25,
Sangsogjadeul,-2013,7.5,"8,525",55,
O Vendedor de Sonhos,-2016,5.8,"1,191",98,
Players,,,,,
Into the Forest,-2015,5.8,"19,853",101,$0.01M
Somebody Feed Phil,(2018– ),8.3,"3,936",60,
Smurfs: The Lost Village,-2017,6,"19,549",90,$45.02M
Wheelman,-2017,6.4,"18,749",82,
Lethal Seduction,-2015,5.1,824,80,
The Other Side of the Wind,-2018,6.8,"6,717",122,
The Indian Detective,-2017,6.5,"2,906",44,
El ministerio del tiempo,(2015– ),8.2,"4,623",70,
She's Gotta Have It,(2017–2019),6.8,"4,322",30,
Girlboss,-2017,7,"16,285",26,
Kon-Tiki,-2012,7.2,"47,166",118,$1.52M
Next Gen,(I) (2018),6.6,"15,524",106,
Moesha,(1996–2001),5.8,"3,430",30,
Unsolved,(2018– ),7.9,"7,032",60,
De nærmeste,-2015,5.6,"1,192",106,
Arifureta Shokugyou de Sekai Saikyou,(2019– ),7,"1,613",23,
Under the Shadow,-2016,6.9,"25,632",84,$0.03M
Satsuriku no Tenshi,-2018,6.4,"1,411",24,
A Man for All Seasons,-1966,7.7,"32,729",120,$28.35M
Wednesday,(II),,,,
Nabillera,(2021– ),8.8,"1,161",60,
La Révolution,-2020,6.5,"4,901",,
Spaceman of Bohemia,,,,,
Sniper: Assassin's End,(2020 Video),5.4,"1,649",95,
Grand Designs,(1999– ),8.5,"2,855",50,
Hope Gap,-2019,6.7,"4,085",100,
Million Dollar Arm,-2014,7,"44,546",124,$36.45M
Run On,(2020–2021),7.6,"1,638",70,
The Dawn Wall,-2017,8.1,"16,824",100,$1.08M
Tabula Rasa,-2017,8,"9,128",60,
Evil Genius: The True Story of America's Most Diabolical Bank Heist,-2018,7.5,"25,186",192,
Alex Strangelove,-2018,6.3,"15,972",99,
Down to Earth with Zac Efron,(2020– ),8.1,"5,754",,
The Rational Life,(2021– ),8.2,192,45,
Winchester '73,-1950,7.6,"18,670",92,
Big Game,-2014,5.4,"31,914",90,$0.02M
The Bookshop,-2017,6.5,"13,939",113,$1.33M
Zoe,(I) (2018),6.1,"8,146",104,
Clinical,-2017,5.1,"7,392",104,
D-Tox,-2002,5.3,"25,639",96,$0.08M
AlRawabi School for Girls,-2021,,,,
Our Souls at Night,-2017,6.9,"12,344",103,
The Toys That Made Us,(2017– ),8.1,"5,161",46,
Down a Dark Hall,-2018,5.1,"12,631",96,
Zheng tu,-2020,6.1,"3,578",110,
A Boy Called Christmas,-2021,,,,
Clarence,(2013–2018),6.6,"7,736",23,
Fyre,-2019,7.2,"39,575",97,
El bar,-2017,6.3,"24,421",102,
Black Earth Rising,-2018,7.5,"4,361",60,
Self Made: Inspired by the Life of Madam C.J. Walker,-2020,7.3,"10,219",191,
Stree,-2018,7.6,"30,544",128,
Death to 2020,(2020 TV Special),6.8,"34,649",70,
Word of Honor,(2021– ),9.1,"2,166",45,
Romaenseuneun Byulchaekboorok,-2019,8.1,"3,704",62,
Green Eggs and Ham,(2019– ),8.2,"2,030",26,
A United Kingdom,-2016,6.9,"15,365",111,$3.90M
Small Crimes,-2017,5.8,"7,416",95,
PJ Masks,(2015–2021),5.5,"1,024",24,
Christmas in the Wild,-2019,6.1,"13,005",85,
Pokémon Journeys,(2019– ),6.2,177,,
Curon,-2020,5.8,"3,586",,
Naissance des pieuvres,-2007,6.7,"10,813",85,$0.08M
Falsa Identidad,(2018– ),7.2,262,,
The Princess Switch: Switched Again,-2020,5.4,"8,340",96,
Jue di tao wang,-2016,5.7,"19,872",107,$0.00M
The Hurricane Heist,-2018,5.1,"19,776",103,$6.12M
Flight 7500,-2014,4.8,"15,349",80,
Elisa y Marcela,-2019,6.6,"3,984",118,
Sanyangeui sigan,-2020,6.3,"4,458",134,
Men Behaving Badly,(1992–2014),7.7,"7,550",45,
Balle perdue,-2020,6.2,"8,228",92,
Ji hun,-2021,6.6,"1,926",130,
Yangguang puzhao,-2019,7.6,"6,542",156,
Xin shen bang: Ne Zha chong sheng,-2021,6.9,"2,212",118,
"Bom Dia, Verônica",(2020– ),7.6,"2,893",49,
Crime Scene: The Vanishing at the Cecil Hotel,-2021,5.9,"15,072",219,
The Night Before,(II) (2015),6.4,"68,503",101,$43.04M
En affære,-2018,5.5,"1,682",92,
The Bubble,,,,,
Get Even,(2020– ),6.5,"1,904",28,
Fi,(2017–2018),7.8,"9,721",60,
Coffee & Kareem,-2020,5.1,"12,524",88,
The World of the Married,(2020– ),8.1,"1,863",80,
Looking Glass,(I) (2018),4.6,"6,155",103,
The Debt Collector,-2018,5.8,"6,619",95,
Laggies,-2014,6.4,"42,740",99,$0.44M
Kôkaku kidôtai: Stand Alone Complex,(2002–2005),8.5,"18,383",24,
The Double,(I) (2011),5.9,"29,333",98,
Bo Burnham: what.,(2013 TV Special),8.4,"9,995",60,
Nightworld,-2017,4.4,"2,155",92,
I Am the Pretty Thing That Lives in the House,-2016,4.6,"13,685",89,
Tower of God,(2020– ),7.8,"4,059",23,
Dirty Money,(2018– ),8.1,"8,359",60,
Love/Hate,(2010–2014),8.5,"6,346",51,
Pieles,-2017,6.2,"5,206",77,
Malang - Unleash the Madness,-2020,6.5,"9,236",135,
Seulgirowun Gamppangsaenghwal,(2017–2018),8.4,"2,163",90,
Dolly Parton's Heartstrings,(2019– ),7.6,"1,920",62,
Kagittan Hayatlar,-2021,6.7,"10,210",96,
Mark Felt: The Man Who Brought Down the White House,-2017,6.4,"12,491",103,$0.77M
Forces spéciales,-2011,6.4,"18,275",109,$0.01M
Death Warrant,-1990,5.7,"17,926",89,$16.85M
Eden,(I) (2021– ),6.6,821,25,
Beyond a Reasonable Doubt,-2009,5.9,"12,570",106,$0.03M
1983,-2018,6.8,"3,882",60,
Ergo Proxy,-2006,8,"13,098",25,
The Flemish Bandits,(2018–2020),6.8,"2,114",45,
La belva,-2020,5.2,"3,858",97,
Disparu à jamais,-2021,,,,
Sun Dogs,-2017,6.3,"2,065",94,
The Real Housewives of Atlanta,(2008– ),4.4,"3,413",44,
Alhambeura Goongjeonui Chooeok,(2018–2019),7.8,"4,367",60,
Breaking Boundaries: The Science of Our Planet,-2021,7.8,"1,462",73,
Lenox Hill,-2020,8.7,"2,044",,
Leave the World Behind,,,,,
